Strain,Link,Cluster,Obs.,,
agaA,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%204/agaA%202,1,,,
agaR,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/agaR,0,,,
agaV,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/agaV,0,,,
alr,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/alr,,Does not fit GG/GGM,,
alsB,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/alsB,2,,,
appA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/appA,0,,,
appB,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/appB,0,,,
appY,https://github.com/maincover/ms2/tree/master/dataset/MG%20strains%20tab/MG%20appY,0,,Wrong WT,
aqpZ,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%208/aqpZ2,0,,,
ascG,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%208/ascG2,0,,,
atoS,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/atoS,,Does not fit GG/GGM,,
bglF,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/bglF,0,,,
bipA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/bipA,0,,,
caiB,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/caiB,0,,,
caiC,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%202/caiC,0,,,
caiT,https://github.com/maincover/ms2/tree/master/dataset/MS%20Github%20data%20part%207/caiT,0,,Wrong WT,
casE,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%204/casE%202,0,,,
cbpM,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/cbpM,0,,,
citT,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/citT,0,,,
crcA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/crcA,0,,,
cstA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/cstA,0,,,
cynX,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/cynX,0,,,
dcp,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/dcp,0,,,
dcuA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/dcuA,0,,,
dnaT,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/dnaT,1,,,
eptA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/eptA,0,,,
eutQ,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/eutQ,0,,,
fabR,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%204/fabR%202,1,,,
fixC,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/fixC,0,,,
fkpA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/fkpA,0,,,
flgD,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%204/flgD%202,0,,,
flu,https://github.com/maincover/ms2/tree/master/dataset/MS%20Github%20data%20part%207/flu,0,,WT control incorrect,
fruB,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/fruB,0,,,
fruR,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/fruR,1,,,
fsr,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/fsr,0,,,
glf,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/glf,0,,,
glpX,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/glpX,0,,,
gltD,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/gltD,0,,,
gltK,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%202/gltK,0,,,
gltL,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/gltL,0,,,
gnsA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/gnsA,0,,,
gspF,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/gspF,0,,,
gspL,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/gspL,0,,,
gspM,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/gspM,2,,,
hslR2,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%208/hslR2,0,,,
hybG,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/hybG,,Does not fit GG/GGM,,
hycA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/hycA,0,,,
idnD,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/idnD,0,,,
intG,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%202/intG,0,,,
ldcC,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ldcC,0,,,
lsrC,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/lsrC,0,,,
lysC,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%204/lysC%202,0,,,
melA,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%202/melA,1,,,
mhpB,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%202/mhpB,0,,,
mprA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/mprA,2,,,
mtlD,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%202/mtlD,0,,,
nagK,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/nagK,0,,,
nagZ,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/nagZ,0,,,
napC,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/napC,0,,,
nirC,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%203/nirC,0,,,
norV,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%202/norV,0,,,
norW,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/norW,0,,,
nsrR,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/nsrR,0,,,
ompL,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%208/ompL2,0,,,
osmY,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/osmY,0,,,
paaC,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%203/paaC,0,,,
paoB,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/paoB,0,,,
pfkA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/pfkA,0,,,
pflC,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/pflC,0,,,
pflD,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/pflD,0,,,
pgi3,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20part%209%20version%202%20correct/pgi3,0,24-08-2019,,wrong wt
phnH,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/phnH,0,,,
ptsH,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ptsH,0,,,
rarD,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%205/rarD%202,0,,WT control incorrect,
recF,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/recF,0,,,
rph,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%202/rph,0,,,
rsd,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/rsd,0,,,
sgcQ,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%203/sgcQ,0,,,
sspA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/sspA,0,,,
ssuA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ssuA,0,,,
ssuE,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%204/ssuE%202,0,,,
syd,https://github.com/maincover/ms2/tree/master/dataset/MS%20Github%20data%20part%207/syd,0,,WT control incorrect,
tdcE,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/tdcE,0,,,
thiQ,https://github.com/maincover/ms2/tree/master/dataset/ana_19032013_MG_WT/70%20thiQ,1,,,
treC,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/treC,0,,,
tyrB,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/tyrB,0,,,
ulaD,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ulaD,0,,,
uxaA,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%202/uxaA,0,,,
uxaB,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%208/uxaB2,0,,,
uxaC3,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20part%209%20version%202%20correct/uxaC3,0,24-08-2019,,
uxuR3,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20part%209%20version%202%20correct/uxuR3,1,24-08-2019,,
WT,https://github.com/maincover/ms2/tree/master/dataset/MG-WT,0,,,
xdhB,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/xdhB,0,,,
xdhC,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/xdhC,0,,,
yafV,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yafV,0,,,
yafX,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yafX,0,,,
yagH,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yagH,0,,,
yagL,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yagL,0,,,
yagQ,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yagQ,0,,,
yagS,https://github.com/maincover/ms2/tree/master/dataset/ana_19032013_MG_WT/80%20MG%20yagS,0,,,
yajQ,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%204/yajQ%202,0,,,
ybaJ,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%2010/ybaJ,0,29-08-2019,,wrong wt
ybbP,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ybbP,0,,,
ybdG,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%202/ybdG,0,,,
ybdK,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ybdK,0,,,
ybgD,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ybgD,0,,,
ybiT,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%203/ybiT,0,,,
ycaD,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ycaD,0,,,
ycaL,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ycaL,0,,,
ycfX,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%202/ycfX,1,,,
ydcP,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ydcP,0,,,
ydgT,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ydgT,1,,,
ydjK,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%2010/ydjK,0,29-08-2019,,wrong wt
ydjQ,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ydjQ,0,,,
yecP,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yecP,0,,,
yeeW,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yeeW,0,,,
yehA,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yehA,0,,,
yfbM,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yfbM,0,,,
yfiD,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%208/yfiD2,0,,,
yfjO,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yfjO,0,,,
ygcQ,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%205/ygcQ%202,0,,,
ygfO,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ygfO,0,,,
yggE,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yggE,0,,,
yggF,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yggF,0,,,
ygjP,https://github.com/maincover/ms2/tree/master/dataset/MS%20Github%20data%20part%206/ygjP,0,,,
yhbP,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yhbP,0,,,
yhbS,https://github.com/maincover/ms2/tree/master/dataset/MS%20Github%20data%20part%207/yhbS,0,,WT control incorrect,
yhbW,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yhbW,0,,,
yhdX,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yhdX,0,,,
yiaG,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yiaG,0,,,
yiaW,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%2010/yiaW,0,29-08-2019,,wrong wt
yicH,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yicH,0,,,
yicM,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yicM,0,,,
yidH,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yidH,0,,,
yigL,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yigL,1,,,
yigZ,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yigZ,1,,,
yihS,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yihS,0,,,
yihV,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%204/yihV%202,1,,,
yjeL,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yjeL,0,,,
yjfC,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yjfC,0,,,
yjfF,https://github.com/maincover/ms2/tree/master/dataset/MS%202%20Github%20data%20part%204/yjfF%202,0,,,
yjfJ,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yjfJ,0,,,
yjfL,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yjfL,0,,,
yjgB,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yjgB,0,,,
yjhG,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yjhG,1,,,
ykfF,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ykfF,0,,,
ykfI,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ykfI,0,,,
ynaA,https://github.com/maincover/ms2/tree/master/dataset/MS%20Github%20data%20part%207/ynaA,0,,WT control incorrect,
yncI,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yncI,0,,,
yoaF,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yoaF,0,,,
yobH,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yobH,0,,,
yphG,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yphG,0,,,
yqjE,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/yqjE,0,,,
ytfF,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ytfF,0,,,
ytfL,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/ytfL,0,,,
zapE,https://github.com/maincover/ms2/tree/master/dataset/MS2%20for%20GitHub%20Updated%2026.05.2019/zapE,0,,,