;FSC;FS;FL1;FL6
agaA;8716;5832;141;1543
agaA;8302;5456;132;1544
agaA;9193;5293;148;1588
agaR;7767;3676;176;1284
agaR;7947;3640;183;1459
agaR;8262;3405;179;1228
agaV;8173;5820;146;1335
agaV;8358;5588;142;1597
agaV;8338;5493;146;1245
alr;8440;4926;133;399
alr;8463;4949;135;445
alr;8475;4998;132;524
alsB;8636;3901;161;1842
alsB;8797;3717;181;2096
alsB;9678;3774;181;2186
appA;9127;5009;134;1754
appA;8823;5144;145;1457
appA;9312;5202;146;1583
appB;9810;5170;138;1841
appB;8845;5610;153;1549
appB;9477;5550;146;1740
appY;8223;4314;179;2724
appY;8611;4388;202;3022
appY;8730;4678;182;3226
aqpZ;8677;3994;186;1277
aqpZ;8216;4332;179;1225
aqpZ;8981;4126;186;1503
ascG;7911;3899;209;1197
ascG;7993;3949;202;1217
ascG;8538;4070;198;1393
atoS;8072;5193;134;732
atoS;8820;5057;134;745
atoS;8107;5166;124;798
bglF;8230;5062;125;601
bglf;8534;4917;132;707
bglF;8205;5110;123;772
bipA;9500;4382;172;1315
bipA;8516;4344;171;1314
bipA;8987;4192;171;1642
caiB;8336;5590;134;938
caiB;7713;5905;135;1124
caiB;7929;5589;132;1131
caiC;8999;3926;162;1162
caiC;9672;3776;172;1531
caiC;9295;4046;170;1609
caiT;8333;5986;173;894
caiT;8347;5688;175;1126
caiT;8391;5928;179;1061
casE;8492;5082;124;1392
casE;8806;5160;122;1588
casE;8730;5488;123;1805
cbpM;7658;5475;123;885
cbpM;7677;5374;133;1031
cbpM;7655;5498;135;1036
citT;9190;4624;134;1014
citT;9365;4160;133;1115
citT;9234;4496;124;1213
crcA;7930;4808;162;1402
crcA;8372;5047;164;1452
crcA;8264;4921;157;1587
cstA;8230;3853;123;1345
cstA;8165;3919;123;1464
cstA;8560;4029;125;1714
cynX;8320;5194;222;1387
cynX;8270;5313;182;1330
cynX;8885;5199;243;1408
dcp;8766;5048;134;768
dcp;8096;5235;126;780
dcp;8123;5226;126;874
dcuA;8334;4910;132;722
dcuA;7904;5186;136;788
dcuA;8348;4933;132;724
dnaT;8227;5248;200;1044
dnaT;8235;5128;199;1080
dnaT;8308;5357;186;968
eptA;8886;5281;123;1035
eptA;9110;5358;132;1122
eptA;9436;5249;124;1252
eutQ;8665;5120;135;818
eutQ;8217;5183;133;1022
eutQ;8216;5130;124;1049
fabR;9286;4485;127;760
fabR;9265;4516;137;929
fabR;9304;4539;137;880
fixC;8549;5043;126;758
fixC;8004;5309;126;897
fixC;8568;5053;126;979
fkpA;8655;3690;161;1408
fkpA;8350;3727;162;1569
fkpA;8948;3716;150;1714
flgD;8353;4953;135;804
flgD;8389;5099;124;987
flgD;8405;4991;136;934
flu;8378;4975;126;783
flu;8376;4995;135;965
flu;8615;5076;127;807
fruB;8128;4967;124;1483
fruB;8363;4956;126;1498
fruB;8193;5017;135;1541
fruR;7099;5714;137;1400
fruR;7102;5761;128;1377
fruR;7163;5905;134;1458
fsr;8404;5001;134;799
fsr;8425;5002;125;1022
fsr;8409;5242;126;898
glf;8304;4961;123;689
glf;8319;4987;123;907
glf;8321;5007;124;749
glpX;7903;3949;148;1095
glpX;7808;3908;146;1179
glpX;7828;3909;148;1029
gltD;8358;4873;131;810
gltD;8923;4911;132;994
gltD;8671;4931;131;1072
gltK;8088;5038;130;454
gltK;8129;5058;129;432
gltK;8129;5107;129;533
gltL;7834;5312;133;323
gltL;7800;5350;132;373
gltL;7866;5400;132;403
gnsA;8504;5161;133;394
gnsA;8524;5195;134;444
gnsA;8570;5228;133;401
gspF;7968;5012;133;964
gspF;8124;5040;132;1005
gspF;7797;5073;132;981
gspL;8931;5004;133;1139
gspL;9339;5020;134;1520
gspL;8845;5077;131;1614
gspM;8489;4884;133;672
gspM;8496;4870;132;894
gspM;8518;4918;131;740
hslR;7733;5080;130;1770
hslR;8299;4998;126;1711
hslR;7701;5084;130;1816
hybG;8865;5655;133;1469
hybG;8791;5681;132;1454
hybG;8982;5430;150;1542
hycA;8305;5005;128;780
hycA;8662;5057;130;1026
hycA;8168;5063;129;1060
idnD;8237;4921;139;1197
idnD;8505;5160;130;1323
idnD;8286;4953;129;1476
intG;8203;4976;127;1313
intG;8220;5028;138;1220
intG;8296;4784;129;1400
ldcC;8131;4773.5;128;1143
ldcC;8152;4850;129;1154
ldcC;8073;4788;125;1330
lsrC;8311;5249;128;1108
lsrC;8171;4992.5;130;1233
lsrC;8305;5258;129;1260
lysC;8012;4528;126;1191
lysC;8586;4555;127;1316
lysC;8233;4596;123;1437
melA;8439;4803;128;644
melA;8430;4819;130;889
melA;8446;4867;126;713
mhpB;8359;5000;130;727
mhpB;8381;5035;139;837
mhpB;8422;5040;129;950
mprA;8234;5050;128;1288
mprA;8262;5076;128;1447
mprA;8311;5141;127;1656
mtlD;8266;4865;127;930
mtlD;8354;4876;127;1220
mtlD;8248;4907;126;1232
nagK;8147;5121;133;1536
nagK;8030;5116;134;1622
nagK;7388;5141;127;1862
nagZ;6818;5378;154;815
nagZ;7442;5400;155;994
nagZ;7004;5457;156;862
napC;8122;4974;129;639
napC;8166;4990;129;796
napC;8194;5023;127;804
nirC;8317;4925;130;713
nirC;8270;4915;128;968
nirC;8309;4954;129;869
norV;8138;4911;128;987
norV;8154;4940;128;1072
norV;8137;4949;127;965
norW;8135;5054;132;756
norW;8168;5136;130;902
norW;8152;5090;129;815
nsrR;7560;4843;129;760
nsrR;7458;4879;130;796
nsrR;7939;4795;128;783
ompL;7086;3969;152;614
ompL;7157;4033;156;629
ompL;7042;3934;141;704
osmY;8266;4841;126;930
osmY;8354;4983;128;1220
osmY;8248;4841;127;1232
paaC;7823;5247;133;1105
paaC;7967;5283;132;1388
paaC;7794;5175;141;1490
paoB;7035;4223;198;984
paoB;7231;4121;180;986
paoB;7217;4238;186;1171
pfkA;8453;3836;159;1321
pfkA;8149;3865;162;1339
pfkA;7853;3885;164;1459
pflC;8596;4898;130;706
pflC;8637;4916;130;785
pflC;8639;4955;126;794
pflD;8128;3984;198;1401
pflD;8058;3934;188;1721
pflD;8068;3948;198;1513
pgi;7737;3787;172;760
pgi;8063;3996;174;848
pgi;7358;4069;155;949
phnH;7452;4786;138;621
phnH;7556;4829;129;730
phnH;8039;4865;127;882
ptsH;8181;4805;210;1511
ptsH;8531;4770;197;1583
ptsH;7816;4865;222;1898
rarD;8350;4808.5;137;634
rarD;8389;4868;128;798
rarD;8468;4926;127;717
recF;8893;3728;167;1072
recF;9571;4722;193;1345
recF;8872;3754;166;1388
rph;7715;5652;128;1027
rph;7710;5672;127;975
rph;7850;5844;136;1169
rsd;8437;4281;127;646
rsd;8486;4287;128;836
rsd;8507;4353;126;791
sgcQ;8484;4900;127;580
sgcQ;8516;4919;128;786
sgcQ;8585;4890;129;634
sspA;7614;4790;191;1387
sspA;7620;4757;186;1430
sspA;7633;4766;182;1522
ssuA;8108;5084;128;638
ssuA;8137;5113;130;813
ssuA;8099;5279;131;718
ssuE;8442;5197;126;1121
ssuE;8154;5218;135;1203
ssuE;7934;5278;124;1135
syd;8208;5010;129;1018
syd;7679;5483;141;1091
syd;8216;5012;130;1197
tdcE;8089;5345;131;760
tdcE;8125;5399;131;865
tdcE;8118;5478;128;812
thiQ;7813;3932;257;1044
thiQ;7967;3954;189;1071
thiQ;7883;3938;167;1256
treC;8921;4122;163;1409
treC;8912;4087;159;1430
treC;8911;4106;161;1819
tyrB;7749;4735;129;748
tyrB;7886;4746;129;853
tyrB;8121;4756;127;997
ulaD;7867;4727;129;569
ulaD;7888;4770;127;741
ulaD;7934;4777;125;660
uxaA;8503;3793;161;1620
uxaA;8559;3777;157;1691
uxaA;9036;4003;172;1795
uxaB;8235;3708;159;1117
uxaB;8021;3710;158;1160
uxaB;7819;3774;149;917
uxaC;9129;3787;153;1554
uxaC;9172;3781;156;1756
uxaC;9172;3803;165;2048
uxuR;9140;4993;131;593
uxuR;9186;5028;130;784.5
uxuR;9229;5060;130;601
MG-WT;8076;3835;175;3044
MG-WT;7683;3829;179;3022
MG-WT;7468;3829;179;3035
xdhB;8594;3940;158;1342
xdhB;8562;3945;166;1440
xdhB;8578;3937;154;1524
xdhC;8581;3813;157;1125
xdhC;8495;3794;141;1209
xdhC;8491;3777;153;1214
yafV;8075;5099;145;757
yafV;7381;5098;133;848
yafV;7342;5196;127;986
yafX;7896;4978;135;1148
yafX;7459;5002;133;1408
yafX;7358;5045;129;1253
yagH;7578;4450;128;808
yagH;7727;4458;129;930
yagH;7851;4442;138;1054
yagL;8413;4653;129;666
yagL;8452;4667;129;823
yagL;8461;4697;127;764
yagQ;6923;3977;153;1606
yagQ;7412;3837;169;1432
yagQ;8557;3849;185;1542
yagS;7619;4103;169;1619
yagS;7704;4131;168;1535
yagS;8773;4206.5;185;1550
yajQ;8154;4759;128;777
yajQ;8177;4780;128;933
yajQ;8128;4759;126;1015
ybaJ;8169;5036;130;1183
ybaJ;7637;5062;131;1191
ybaJ;7877;5086;128;898
ybbP;8073;4869;130;683
ybbP;8072;4869;129;758
ybbP;8103;4898;131;704
ybdG;8390;4552;130;644
ybdG;8419;4601;129;773
ybdG;8422;4663;128;842
ybdK;7626;4867;131;741
ybdK;7672;4780;129;970
ybdK;7097;4900;131;937
ybgD;7857;4892;130;558
ybgD;7833;4849;130;621
ybgD;7869;4903;126;600
ybgD;7813;4873;132;2300
ybgD;7812;4909;122;1849
ybgD;7887;5003;140;2001
ybiT;8088;4773;128;658
ybiT;8073;4823;127;772
ybiT;8080;4815;127;643
ycaD;8220;4792;129;822
ycaD;8235;4807;129;941
ycaD;8259;4840;136;1101
ycaL;7182;4331;184;1444
ycaL;7913;3907;161;1693
ycaL;7673;3944;153;1910
ycfX;7998;5063;130;618
ycfX;8041;5052;128;800
ycfX;8027;5115;129;735
ydcP;7482;4750;130;761
ydcP;7678;4777;128;935
ydcP;7254;4777;129;962
ydgT;8041;4597;126;542
ydgT;8070;4597;128;639
ydgT;8097;4578;126;615
ydjK;7123;4688;127;1093
ydjK;7316;4713;128;1128
ydjK;7421;4728;127;1302
ydjQ;7938;4989;130;595
ydjQ;7944;5005;128;767
ydjQ;8006;5134;128;663
yecP;7452;3705;148;1106
yecP;8005;3710;159;1308
yecP;8006;3653;153;1059
yeeW;7451;5295;132;1011
yeeW;7771;5315;133;1234
yeeW;7450;5357;132;1240
yehA;7887;4780;135;919
yehA;7800;4823;133;920
yehA;7979;4853;133;1130
yfbM;8948;5030;123;647
yfbM;8945;5036;133;819
yfbM;8952;5068;132;736
yfiD;7690;3914;172;783
yfiD;7668;3893;169;919
yfiD;7411;3985;163;897
yfjO;8235;4800;132;629
yfjO;8262;4848;131;815
yfjO;8294;4890;133;768
ygcQ;7819;5110;135;1118
ygcQ;7847;5123;124;1276
ygcQ;8112;5153;135;1078
ygfO;7902;4955;132;865
ygfO;7566;4983;132;987
ygfO;7894;4998;133;875
yggE;7966;5205;131;940
yggE;7614;5208;132;956
yggE;7556;5254;131;932
yggF;7291;3755;178;1263
yggF;7999;3749;204;1410
yggF;7972;4029;183;1132
ygjP;8146;4866;130;773
ygjP;8206;4869;129;892
ygjP;8201;4900;128;754
yhbP;8244;4836;125;923
yhbP;8213;4817;133;1011
yhbP;8272;4875;133;1199
yhbS;8309;5081;123;1118
yhbS;7863;5092;132;1203
yhbS;7820;5206;136;982
yhbW;7817;5041;123;1099
yhbW;7857;5038;123;1249
yhbW;7883;5071;125;1328
yhdX;7895;4873;124;1295
yhdX;7272;4864;124;1422
yhdX;7888;4861;134;1066
yiaG;7941;4986;124;766
yiaG;7930;4970;121;967
yiaG;7971;5025;123;823
yiaW;8399;4739;134;810
yiaW;8470;4768;125;971
yiaW;7928;5177;148;950
yicH;8281;5055;134;757
yicH;8158;5069;132;835
yicH;8036;5115;122;1013
yicM;8373;5038;135;732
yicM;8408;5064;126;852
yicM;8148;5080;125;956
yidH;8059;5090;131;1038
yidH;8026;5041;123;1060
yidH;7992;5014;124;1008
yigL;7817;3828;179;1112
yigL;8384;3828;179;1347
yigL;7619;3990;211;1264
yigZ;8018;4876;123;886
yigZ;8039;4903;131;997
yigZ;8059;4938;131;884
yihS;7682;3598;173;1202
yihS;7995;3625;161;1325
yihS;8241;3598;156;1271
yihV;8380;5009;133;1192
yihV;8371;4921;124;1219
yihV;8350;4925;132;993
yjeL;7474;5466;134;887
yjeL;7749;5381;136;1098
yjeL;7375;5380.5;134;949
yjfC;8477;4872;125;904
yjfC;8498;4891;126;1113.5
yjfC;8496;4923;133;1089
yjfF;8328;4998;125;969
yjfF;8378;5012.5;135;1250
yjfF;8391;5048;136;1108
yjfJ;8363;4832;134;1212
yjfJ;8388;4844;124;1402.5
yjfJ;8378;4935;134;1332
yjfL;6968;6164;129;1198
yjfL;7848;6161;130;1314
yjfL;7466;6390;130;1264
yjgB;8791;5050;138;694
yjgB;8514;5026;134;824
yjgB;8495;5490;147;856
yjhG;7465;3971;212;1303
yjhG;7490;3801.5;186;1358
yjhG;7537;3971;186;1475
ykfF;7305;5410;159;1174
ykfF;7003;5329;157;1257
ykfF;7437;5369;159;1366
ykfI;8497;4942;135;793
ykfI;8492;4945;132;881
ykfI;8523;4978;132;1015
yktF;8370;3895;177;1858.5
yktF;8424;3923;193;2294
yktF;8458;3971;185;2482
ynaA;8622;4979;132;1637
ynaA;8639;4940;133;1405
ynaA;8652;4927;134;1544
yncI;7828;5089;137;1314
yncI;8213;5112;134;1497
yncI;8182;5166;134;1199
yoaF;8829;5131;125;1082
yoaF;8829;5157;125;1328
yoaF;8875;5173.5;136;1140
yobH;8090;5156;123;853
yobH;8125;5162.5;135;954
yobH;8138;5191;124;904
yphG;8082;5147;123;909
yphG;8062;5174;133;1165
yphG;8147;5201;133;1016.5
yqjE;8296;4997;135;946
yqjE;8297;5016;133;1111
yqjE;8330;5025;125;1260
ytfF;8964;4145;135;714
ytfF;8521;5044;134;830
ytfF;8513;5056;132;934
ytfL;7774;5061;125;678
ytfL;8814;5033;135;732
ytfL;7619;5065;126;781
zapE;8024;4982;124;1085
zapE;7991;5014;133;1151
zapE;8062;5015;123;1112
