,model type,rate,rate_L95%,rate_U95%,beta,beta_L95%,beta_U95%,s,s_L95%,s_U95%,lambda,lambda_L95%,lambda_U95%
MG-WT,GGM,0.07292724175408624,0.06154093240983594,0.08642024716884067,153.7637447675589,85.21132630905477,277.4665086093209,0.9567169814340144,0.7035788473505795,1.3009307855273435,0.0006559082904834664,0.0001852278074730789,0.0023226301244615825
yihV%202,GGM,0.06708540947505666,0.055059880876943246,0.08173741193691214,2099468.111145784,9.712218454465565e-10,4.5383723300533793e+21,1299.646477360371,5.646206276406154e-13,2.991532514802716e+18,0.002738760345214918,0.001856105566293783,0.004041153889484384
norW,GGM,0.11047535654644022,0.10198023152293924,0.11967813979043347,37321.261743508614,19009.73246913338,73271.76120911386,0.6095060227641216,0.5236367228979234,0.7094567197842554,0.00036867040553901614,0.000276337625818386,0.0004918543666204553
norV,GGM,0.167342539103576,0.14895908845211836,0.18799474194307625,21966986.669243027,3831852.7960776105,125930856.16980138,0.32899585727498154,0.2651945955545912,0.40814660599604413,0.0003176426792593108,0.00022676291367326948,0.0004449443255629104
yncI,GG,0.041144364954871816,0.039432525389497965,0.042930518672551,12966.909426798531,0.010748433302963491,15643278917.350483,298.7137861413338,0.00023604934150365785,378013873.9743428,0.0,0.0,0.0
yecP,GG,0.08142158882776837,0.07321515090765715,0.09054785853818184,8196.509692186664,4564.644902736675,14718.07173737246,5.0314253358699315,2.133544551705915,11.865344405483633,0.0,0.0,0.0
bipA,GG,0.06877029194564993,0.06292809761984448,0.0751548709268229,228.69296135549018,178.04338776519097,293.75126608194614,0.7565636042214909,0.6101238774060508,0.9381512647335317,0.0,0.0,0.0
pgi3,GGM,0.12914973585893497,0.11183015826373247,0.1491516647333766,11366347.477668798,2052785.0808154664,62935889.48521878,1.503514138569527,0.8714802902696618,2.5939252902426335,0.0018560111464807681,0.0015992092294620814,0.0021540504596884794
nirC,GGM,0.13835581768506308,0.10862659316143361,0.17622141807259262,3693519.8806513827,270614.51094126154,50411521.027887896,0.9453526336927834,0.40704638294672135,2.1955522502379243,0.0006439966542915095,0.00044819028727491745,0.0009253473413275104
80%20MG%20yagS,GG,0.052706790860782636,0.05120578525702555,0.05425179574726142,135978.2821780357,0.011180968772984919,1653711194397.0972,1457.002714783999,0.00011699974496729131,18144115711.375412,0.0,0.0,0.0
ssuE%202,GGM,0.15755716123840682,0.11598141094660099,0.21403653270725137,2592602.4172408925,52984.950697255365,126858423.10751642,0.5311532028757734,0.30763686492501763,0.9170673514500819,0.004417040315162241,0.0037458286606879805,0.005208525779763024
yoaF,GG,0.0517546244785035,0.044954644126160334,0.059583191169167715,1127.3496886680948,591.6340774934368,2148.147594750657,2.29362624213024,0.7710479034583271,6.822820365625717,0.0,0.0,0.0
ycaL,GG,0.06613404430997946,0.05909181344766371,0.07401552874440086,69.53274891623369,51.27577291462272,94.29020562787493,1.008197977350821,0.7737566540881143,1.3136729179178512,0.0,0.0,0.0
ulaD,GGM,0.11239518134764229,0.0773937610771573,0.16322603546266887,8096150.801226339,133987.48216198318,489207325.4795141,1.7921483985120341,0.3981747206730357,8.066297822373912,0.004504932810006846,0.0038932850084485745,0.005212672480600965
nagZ,GG,0.046247678210838826,0.04312048677235147,0.04960166037051115,330.3129991658001,258.07355791810323,422.7735623055565,1.788722601942333,1.2224078761169919,2.6173985043868737,0.0,0.0,0.0
sspA,GGM,0.1058828210661534,0.09180836288625607,0.1221149298873447,5331.0879993176995,2080.162051243346,13662.637119777184,0.42367336350799634,0.32568185835603913,0.5511486573192798,0.00121176720445972,0.001003899543149811,0.0014626759896682214
nagK,GG,0.05127205911952423,0.04690584843718789,0.05604469664110807,284.44527520018136,192.13880753982835,421.09720373347955,3.4305409887031626,1.9067975288147012,6.171925071923104,0.0,0.0,0.0
ydjQ,,,,,,,,,,,,,
MG-WT,GGM,0.07292724175408624,0.06154093240983594,0.08642024716884067,153.7637447675589,85.21132630905477,277.4665086093209,0.9567169814340144,0.7035788473505795,1.3009307855273435,0.0006559082904834664,0.0001852278074730789,0.0023226301244615825
lsrC,GG,0.0438519931836975,0.039883655651864976,0.04821517172268365,337.4333832556096,231.21948736839335,492.4381133754363,3.586988774701971,2.018761787379371,6.3734555261918295,0.0,0.0,0.0
yfbM,GGM,0.22775675284155536,0.18424601618173317,0.28154279555094247,31004690222.426556,235570142.50171942,4080698876266.1914,0.2753411328351372,0.20774754410625978,0.36492724742950317,0.0015473198165354,0.001303878681754855,0.0018362127152971451
ptsH,GG,0.12588836135742795,0.1025513180809577,0.15453608809540093,391.30613213446895,150.89344999513028,1014.7590173793498,0.17777470704860268,0.1370347610626349,0.23062649375344432,0.0,0.0,0.0
osmY,GG,0.05320153720159725,0.049730402764799835,0.05691495349433108,217.1717306191946,183.73794163658914,256.6892834438066,1.1772883568835957,0.9419471307559412,1.4714285228952957,0.0,0.0,0.0
ydjK,GGM,0.18164628169645072,0.1697395091938236,0.19438828243852935,7671313.7160124285,3120013.7821377404,18861793.004375383,0.4409717922446752,0.38124650240132785,0.510053522670176,0.00012738351524603785,8.99641401211174e-05,0.00018036697660414448
flgD%202,GGM,0.1329944383816773,0.10192339376138286,0.17353739890046,779631.1062326799,35322.45709863172,17207881.66316826,0.46249492964996003,0.2809510395251479,0.7613481705333759,0.0019036134942891376,0.001496610193247946,0.002421301386285125
pfkA,GG,0.03703016722983445,0.03275524323288996,0.041863016412976364,143.5295013327444,74.92640598102024,274.94602848086276,3.783748882265784,1.5567516748414132,9.196557058791038,0.0,0.0,0.0
dnaT,GGM,0.13200313493412247,0.04830492861527714,0.36072566779293985,9057.589587004448,1.7657480468285172,46461854.66491922,0.08186567126409612,0.023716135706873073,0.28259191186778276,0.0016666546170482411,0.0009741409361848097,0.002851474062271868
yjeL,GGM,0.1457285727982272,0.12958553294494962,0.16388262213521942,24495997.427791458,4292073.842120788,139805118.00464913,0.634598752720641,0.5031747930053948,0.8003492673971758,0.0009214176368275218,0.000748172986367298,0.0011347782891482441
gspF,GGM,0.14474404488472759,0.11952507217992253,0.1752840483380297,30608995.37765286,2754445.848353522,340144860.20453686,1.361551652566611,0.644166587143444,2.8778625585466098,0.001962300278762901,0.0016519116142637924,0.002331009934662313
yfjO,GGM,0.08253096649882112,0.07263391869980312,0.09377657922300696,50070.171242508775,20795.775841866674,120554.38889694806,1.1186443133685404,0.7154659717372255,1.7490211264601854,0.00045507083860478334,0.0003307726653823975,0.0006260779375739828
gspL,GGM,0.05268407134476355,0.04218387189770473,0.06579792817954105,8619.524142826824,2.7442017521108326,27073882.738988142,31.602080432591816,0.00405173033172506,246485.18186125226,0.0021567007426274683,0.001471902434855442,0.003160099462507303
paoB,GGM,0.09840720802141796,0.08291503536325825,0.11679399940124542,49262.16244407314,14546.717395926837,166825.31066051757,1.3929668344912445,0.8216406608842651,2.3615635086806797,0.0011182455425596037,0.0008149648583069872,0.001534388974822991
yagQ,GG,0.10597683024397198,0.09720093139435836,0.11554507130177065,2864.271348453381,1788.3408708403153,4587.520472937574,0.758119546963069,0.6275935236457978,0.9157921900606876,0.0,0.0,0.0
ybdG,GGM,0.19503755675620643,0.15006759868956712,0.25348342265487994,138641022.63920993,1509069.5042978034,12737208659.842306,0.15588750521628886,0.1089181092784038,0.2231117896147399,0.0005378103747564834,0.00039539234064619994,0.0007315265609925493
ybiT,GGM,0.16145943175994795,0.13217761169613812,0.197228167234368,60609489.28231216,3516937.172975395,1044519708.5948665,0.8137723603015676,0.44130903785802006,1.500593456243329,0.0002527322056577058,0.00013711853021501988,0.00046582739529403333
fruR,GG,0.04142700071010204,0.03588303840492498,0.047827510270123746,177.8852531262951,65.31817386029952,484.44653929675826,5.697866792623576,1.573925711925824,20.627203520779968,0.0,0.0,0.0
ldcC,GG,0.04694883878348084,0.042220580445877884,0.05220661203231935,398.3150584840936,289.78216962499056,547.4970596724548,2.436554953026606,1.4493392908419889,4.096211340320128,0.0,0.0,0.0
tyrB,GG,0.052429078460143545,0.04658093962697884,0.05901143880291817,564.8132659402028,389.80471045193764,818.3944853107981,1.3693230708402608,0.8335404651503489,2.2494956762503344,0.0,0.0,0.0
yehA,GGM,0.07319822402085042,0.05764012538924761,0.09295573116164838,4355.165017602549,1708.9118411256875,11099.146178339322,1.7865488614599379,0.4495789601269992,7.099435510687996,0.0031054613198806826,0.0025479630924152732,0.003784941013463976
fruB,GG,0.03649618910446602,0.03459199160080985,0.038505207636491234,79797.9697597711,0.03910776799793463,162824837718.11362,3344.077449985941,0.001632726859708889,6849188475.7125435,0.0,0.0,0.0
phnH,GG,0.036489833441743315,0.03313746490499797,0.04018134605116832,125367.12973756832,4.714789471454051e-06,3333535317705121.5,1247.363781862883,4.6366662479729013e-08,33556791045365.96,0.0,0.0,0.0
ybaJ,GGM,0.26132766585509704,0.23556302731273793,0.2899103043475804,7826325750.437789,935648013.4051301,65464120988.24618,0.2923328266778503,0.24045509123753753,0.355403086346134,0.00015138972615486306,0.00010191037882959976,0.00022489219889532653
ybdK,GG,0.051805352604799126,0.045569212385776686,0.058894907723822075,236.5839588526525,175.4033913325815,319.10426110442415,1.2387434556136934,0.7810135808776716,1.9647358079245707,0.0,0.0,0.0
ytfF,GGM,0.08017063271461501,0.06886498332778367,0.09333234452797123,113318.23123605964,48214.33227448016,266332.041214762,2.58344107715839,0.9695839254184707,6.883538004478306,0.0009864570268303676,0.0007809424409954327,0.0012460552976767975
ytfL,GG,0.042681033071518146,0.03411775285160735,0.05339362741664869,65.77483039002539,44.50504552711416,97.20983905523353,0.42771622716497054,0.2419177736051811,0.7562121966234839,0.0,0.0,0.0
cbpM,GG,0.08885875181723539,0.08152168596402298,0.09685616386787718,7994.376117364542,5380.94296231897,11877.10963551004,1.3492467790144622,0.988368040473557,1.8418916801565746,0.0,0.0,0.0
uxuR3,GGM,0.08702827429962308,0.04926099906033454,0.1537508510189561,57256.77545475466,673.293226958839,4869109.333364214,0.6915751769980455,0.15504518899360586,3.0847537324076684,0.0005259568302795659,0.00019703767027892623,0.0014039477168306456
caiT,GGM,0.15226733517296348,0.12812348270934942,0.18096090482704089,9736604.076472634,822118.1700655397,115313664.62126252,0.5348694371672563,0.40785626887727666,0.7014366007003809,0.001129814193310736,0.0009295525002763709,0.0013732200290213527
yobH,GGM,0.07614688302609768,0.07017409837446337,0.08262803411664844,27382539.56304244,8.655958222588464e-06,8.662281559595657e+19,6595.738660912487,2.0708246263094454e-09,2.1007944337897148e+16,0.0019694176761525695,0.001637412925830917,0.002368740298769756
lysC%202,GGM,0.12891223356385373,0.11376780266344289,0.14607264598036904,30033.58290102999,10842.931721316336,83189.31863231689,0.3861594066046975,0.3029268941520052,0.4922609718319228,0.00018147999074732277,9.76681394431221e-05,0.00033721321230684783
yhbW,GGM,0.08861493275285937,0.075827298203717,0.10355909405735436,6990.6283303337905,3041.3643654419398,16068.079513308916,1.0504578362676213,0.6173390623490327,1.7874483133746282,0.0002712694670424807,0.00012363403816498632,0.0005952011666181401
caiC,GGM,0.13032411192111729,0.11249606490816713,0.15097749562967025,339230.11441428977,70175.31296862611,1639851.1906456426,0.42707345782562844,0.33219604458909674,0.5490484951581669,0.0003968235810304869,0.0002780061433591096,0.0005664225709517923
caiB,GGM,0.07316743763313004,0.06491989256217265,0.08246276631882969,16112.082694039482,9160.903115620631,28337.731058078036,2.847089647083508,1.3483753477029128,6.011619444347829,0.00020690343405731904,9.493142398401543e-05,0.00045094689648729583
yhbS,GGM,0.08048566126163198,0.06769492895288952,0.09569316001838657,25213.558058210623,8477.625569054977,74988.39206525887,1.7392188713192334,0.9666747016083795,3.1291625583250156,0.0008843902472068268,0.0006057588518760127,0.001291183953700841
dcp,GG,0.06037216856665084,0.05592749596669828,0.06517006839731176,1859.693178061055,1265.2626139709866,2733.392007586918,2.9442618283813764,1.587249408446215,5.46144649223688,0.0,0.0,0.0
yicM,GGM,0.151220911405301,0.08950150928703393,0.25550143487426913,6067637.988375069,3742.713620973863,9836774727.207842,0.19228204403190027,0.08542137305119393,0.43282357958502604,0.0006688430998199446,0.00042918658210705366,0.0010423231080070624
recF,GG,0.0535981661296449,0.04578220149332638,0.0627484768918282,307.587453383479,210.91283017014322,448.57414033376733,1.0707302801948553,0.6911907080422973,1.6586787403050498,0.0,0.0,0.0
ygjP,GGM,0.09721589898786807,0.0853154443889615,0.11077632055611929,279184.107811366,136954.6000671849,569121.1979458308,4.226170158345789,1.279170224325885,13.962578136701744,0.0013476370194151323,0.0011099497818721933,0.0016362231569024463
glf,GG,0.07628662284528984,0.06573623816966646,0.08853029907368405,3350.756154428803,1578.4966166260756,7112.822851936557,0.6424959257975708,0.45339450507143336,0.9104676171614383,0.0,0.0,0.0
mhpB,GGM,0.13466466164269175,0.118400447588931,0.15316302822014008,523874.60360392946,124856.29938661895,2198083.7302517947,0.33479062429165185,0.26094192223715895,0.4295391141164544,0.00028901989824058955,0.00019169127512770834,0.00043576579853908193
gltL,GG,0.07667023792390423,0.06353450980929093,0.09252177125396611,2305.5529310796787,939.989309056504,5654.930611227383,0.6882069369662512,0.45398882287408077,1.0432609003236109,0.0,0.0,0.0
casE%202,GGM,0.11809138066876636,0.07014007883180559,0.19882461526307485,67023.67442689341,1088.2145005957736,4128021.572238598,0.46344352316681303,0.1576893890854652,1.362044081792092,0.005088582277529554,0.0043628668578468465,0.005935012559142559
fixC,GGM,0.13137272179252055,0.11082245720543521,0.1557337065643818,5178009.501567553,607710.765318799,44119314.52992891,0.6311579879174444,0.42931140165274173,0.9279054881338085,0.000896933833173221,0.0007113705010182655,0.001130901970125622
gltD,GG,0.04768933209371413,0.042677382351039635,0.05328987557947425,476.16298706516886,321.98612628749106,704.1644708889824,1.6225046198949373,0.9304424876368402,2.8293218297313083,0.0,0.0,0.0
